period,reporterCode,partnerCode,HS6code,qtyUnitCode,qty_M,qty_RM,qty_X,primaryValue_M,primaryValue_RM,primaryValue_X,netWgt_M,netWgt_RM,netWgt_X,balance_primaryValue,balance_qty,balance_netWgt
2017,156,842,407,8,0,0,3297816,0,0,10169964,0,0,3297816,10169964,3297816,3297816
2017,156,842,40790,8,0,0,3297816,0,0,10169964,0,0,3297816,10169964,3297816,3297816
2017,156,842,408,8,710,0,393744,3484,0,4653748,710,0,393744,4650264,393034,393034
2017,156,842,40811,8,0,0,103572,0,0,1552188,0,0,103572,1552188,103572,103572
2017,156,842,40819,8,710,0,272892,3484,0,3019960,710,0,272892,3016476,272182,272182
2017,156,842,40891,8,0,0,17280,0,0,81600,0,0,17280,81600,17280,17280
2017,156,842,409,8,422724,0,2724,3158868,0,15600,422724,0,2724,-3143268,-420000,-420000
2017,156,842,40900,8,422724,0,2724,3158868,0,15600,422724,0,2724,-3143268,-420000,-420000
2017,156,842,410,8,15046,0,1088566,394448,0,14277796,15046,0,1088566,13883348,1073520,1073520
2017,156,842,41000,8,15046,0,1088566,394448,0,14277796,15046,0,1088566,13883348,1073520,1073520
2017,156,842,5,-1,0,0,0,223094766,0,529525746,0,0,0,306430980,0,0
2017,156,842,502,8,0,0,974054,0,0,18862836,0,0,974054,18862836,974054,974054
2017,156,842,50210,8,0,0,939734,0,0,15846076,0,0,939734,15846076,939734,939734
2017,156,842,50290,8,0,0,34320,0,0,3016760,0,0,34320,3016760,34320,34320
2017,156,842,504,8,75176442,0,39168322,139965474,0,221779418,75176442,0,39168322,81813944,-36008120,-36008120
2017,156,842,50400,8,75176442,0,39168322,139965474,0,221779418,75176442,0,39168322,81813944,-36008120,-36008120
2017,156,842,505,8,4707014,0,29960300,36214908,0,237240644,4707014,0,29960300,201025736,25253286,25253286
2017,156,842,50510,8,2430690,0,29960300,30674786,0,237240644,2430690,0,29960300,206565858,27529610,27529610
2017,156,842,50590,8,2276324,0,0,5540122,0,0,2276324,0,0,-5540122,-2276324,-2276324
2017,156,842,507,8,0,0,2108,0,0,126416,0,0,2108,126416,2108,2108
2017,156,842,50790,8,0,0,2108,0,0,126416,0,0,2108,126416,2108,2108
2017,156,842,508,8,401242,0,1519624,287140,0,2670008,401242,0,1519624,2382868,1118382,1118382
2017,156,842,50800,8,401242,0,1519624,287140,0,2670008,401242,0,1519624,2382868,1118382,1118382
2017,156,842,510,8,0,0,506,0,0,20958,0,0,506,20958,506,506
2017,156,842,51000,8,0,0,506,0,0,20958,0,0,506,20958,506,506
2017,156,842,511,8,447.574,0,7363627.796,560,0,48825466,447.574,0,7363627.796,48824906,7363180.222,7363180.222
2017,156,842,511,-1,0,0,0,46626684,0,0,7292747.88,0,0,-46626684,0,-7292747.88
2017,156,842,51110,-1,0,0,0,31589726,0,0,6674,0,0,-31589726,0,-6674
2017,156,842,51191,8,1673138,0,648704,6769510,0,4005580,1673138,0,648704,-2763930,-1024434,-1024434
2017,156,842,51199,8,5613383.454,0,6714923.796,8268008,0,44819886,5613383.454,0,6714923.796,36551878,1101540.342,1101540.342
2017,156,842,6,-1,0,0,0,8224280,0,86616218,0,0,0,78391938,0,0
2017,156,842,601,5,2137712.854,0,5592382.916,381970,0,816112,16972,0,164088,434142,3454670.062,147116
2017,156,842,60110,5,2135965.02,0,5589015.202,377958,0,803584,16488,0,163850,425626,3453050.182,147362
2017,156,842,60120,5,1747.834,0,3367.714,4012,0,12528,484,0,238,8516,1619.88,-246
2017,156,842,602,-1,0,0,0,7521295,0,64831694,2956504,0,61276808,57310399,0,58320304
2017,156,842,602,8,360,0,0,22543,0,0,360,0,0,-22543,-360,-360
2017,156,842,60210,-1,0,0,0,0,0,5180744,0,0,2217356,5180744,0,2217356
2017,156,842,60210,5,52640.136,0,0,6778,0,0,2,0,0,-6778,-52640.136,-2
2017,156,842,60220,5,17626.65,0,0,51604,0,0,4222,0,0,-51604,-17626.65,-4222
2017,156,842,60230,5,70375.77,0,0,257994,0,0,59050,0,0,-257994,-70375.77,-59050
2017,156,842,60290,8,2893590,0,59059452,7227462,0,59650950,2893590,0,59059452,52423488,56165862,56165862
2017,156,842,603,8,4374,0,55028,59976,0,173720,4374,0,55028,113744,50654,50654
2017,156,842,60311,8,0,0,610,0,0,3432,0,0,610,3432,610,610
2017,156,842,60312,8,0,0,1290,0,0,11374,0,0,1290,11374,1290,1290
2017,156,842,60314,8,0,0,9984,0,0,26676,0,0,9984,26676,9984,9984
2017,156,842,60315,8,4,0,728,40,0,4034,4,0,728,3994,724,724
2017,156,842,60319,8,1524,0,3268,22682,0,24586,1524,0,3268,1904,1744,1744
2017,156,842,60390,8,2846,0,39148,37254,0,103618,2846,0,39148,66364,36302,36302
2017,156,842,604,8,25232,0,3091486,238496,0,20794692,25232,0,3091486,20556196,3066254,3066254
2017,156,842,60420,8,21880,0,19426,214884,0,118832,21880,0,19426,-96052,-2454,-2454
2017,156,842,60490,8,3352,0,3072060,23612,0,20675860,3352,0,3072060,20652248,3068708,3068708
2017,156,842,7,-1,0,0,0,89351702,0,1554360558,0,0,0,1465008856,0,0
2017,156,842,701,8,14975.272,0,174000,14610,0,58800,14975.272,0,174000,44190,159024.728,159024.728
2017,156,842,70110,8,14975.272,0,0,14610,0,0,14975.272,0,0,-14610,-14975.272,-14975.272
2017,156,842,70190,8,0,0,174000,0,0,58800,0,0,174000,58800,174000,174000
2017,156,842,703,8,802,0,104690066,2780,0,241114584,802,0,104690066,241111804,104689264,104689264
2017,156,842,70310,8,774,0,7888626,2656,0,6724676,774,0,7888626,6722020,7887852,7887852
2017,156,842,70320,8,28,0,96189842,124,0,233984590,28,0,96189842,233984466,96189814,96189814
2017,156,842,70390,8,0,0,611598,0,0,405318,0,0,611598,405318,611598,611598
2017,156,842,704,8,9246,0,71456,29964,0,56584,9246,0,71456,26620,62210,62210
2017,156,842,70410,8,8470,0,8840,28858,0,15296,8470,0,8840,-13562,370,370
2017,156,842,70490,8,776,0,62616,1106,0,41288,776,0,62616,40182,61840,61840
2017,156,842,705,8,7736,0,1280,24638,0,2302,7736,0,1280,-22336,-6456,-6456
2017,156,842,70511,8,0,0,160,0,0,320,0,0,160,320,160,160
2017,156,842,70519,8,7736,0,1120,24638,0,1982,7736,0,1120,-22656,-6616,-6616
2017,156,842,706,8,300716,0,33240,762706,0,26248,300716,0,33240,-736458,-267476,-267476
2017,156,842,70610,8,294680,0,33240,753498,0,26248,294680,0,33240,-727250,-261440,-261440
2017,156,842,70690,8,6036,0,0,9208,0,0,6036,0,0,-9208,-6036,-6036
2017,156,842,707,8,0,0,180,0,0,360,0,0,180,360,180,180
2017,156,842,70700,8,0,0,180,0,0,360,0,0,180,360,180,180
2017,156,842,708,8,0,0,28652,0,0,34986,0,0,28652,34986,28652,28652
2017,156,842,70810,8,0,0,320,0,0,1152,0,0,320,1152,320,320
2017,156,842,70820,8,0,0,28332,0,0,33834,0,0,28332,33834,28332,28332
2017,156,842,709,8,70922,0,18457552,58006,0,48611618,70922,0,18457552,48553612,18386630,18386630
2017,156,842,70920,8,0,0,1400,0,0,2654,0,0,1400,2654,1400,1400
2017,156,842,70940,8,69846,0,3500,52858,0,6900,69846,0,3500,-45958,-66346,-66346
