"period","reporterCode","partnerCode","HS6code","qtyUnitCode","qty_M","qty_RM","qty_X","primaryValue_M","primaryValue_RM","primaryValue_X","netWgt_M","netWgt_RM","netWgt_X","balance_primaryValue","balance_qty","balance_netWgt"
2017,"156","112","391000",8,0,0,100,0,0,486,0,0,100,486,100,100
2017,"156","446","391000",8,0,0,90,0,0,332,0,0,90,332,90,90
2017,"156","686","391000",8,0,0,50,0,0,332,0,0,50,332,50,50
2017,"156","324","391000",8,0,0,160,0,0,320,0,0,160,320,160,160
2017,"156","4","391000",8,0,0,100,0,0,278,0,0,100,278,100,100
2017,"156","178","391000",8,0,0,280,0,0,72,0,0,280,72,280,280
2017,"156","598","391000",8,0,0,14.822,0,0,44,0,0,14.822,44,14.822,14.822
2017,"156","899","391000",8,296,0,0,8256,0,0,296,0,0,-8256,-296,-296
2017,"156","442","391000",8,360,0,0,22416,0,0,360,0,0,-22416,-360,-360
2017,"156","203","391000",8,33508,0,61566,350802,0,251144,33508,0,61566,-99658,28058,28058
2017,"156","40","391000",8,14392,0,8200,210764,0,52022,14392,0,8200,-158742,-6192,-6192
2017,"156","380","391000",8,1624146.4,0,2725048,13852022,0,10253116,1624146.4,0,2725048,-3598906,1100901.6,1100901.6
2017,"156","56","391000",8,1965532.96,0,743444,13913912,0,2211530,1965532.96,0,743444,-11702382,-1222088.96,-1222088.96
2017,"156","826","391000",8,4523370.892,0,1043160,18202122,0,4225622,4523370.892,0,1043160,-13976500,-3480210.892,-3480210.892
2017,"156","752","391000",8,239790,0,75908,19684662,0,553972,239790,0,75908,-19130690,-163882,-163882
2017,"156","490","391000",8,10354997.764,0,18084504,80686868,0,61081494,10354997.764,0,18084504,-19605374,7729506.236,7729506.236
2017,"156","764","391000",8,30840756,0,14942586,94255538,0,60068800,30840756,0,14942586,-34186738,-15898170,-15898170
2017,"156","251","391000",8,12752696.938,0,3446864,64960192,0,8691426,12752696.938,0,3446864,-56268766,-9305832.938,-9305832.938
